,lat,long,date,fire_bool
24387,44.644,-121.75,2014-07-17,f
24388,44.644,-121.75,2014-07-17,f
24389,44.644,-121.75,2014-07-17,f
24423,44.709,-117.712,2014-07-17,t
24424,44.709,-117.712,2014-07-17,t
24425,44.711,-117.72,2014-07-17,t
24426,44.711,-117.72,2014-07-17,t
24427,44.711,-117.687,2014-07-17,t
24428,44.711,-117.687,2014-07-17,t
24438,44.721,-120.618,2014-07-17,f
24439,44.721,-120.618,2014-07-17,f
24440,44.723,-117.69,2014-07-17,f
24441,44.728,-120.611,2014-07-17,f
24442,44.728,-120.611,2014-07-17,f
24447,44.735,-120.625,2014-07-17,f
24448,44.735,-120.625,2014-07-17,f
24449,44.737,-117.755,2014-07-17,f
24450,44.739,-120.593,2014-07-17,f
24451,44.739,-120.588,2014-07-17,f
24452,44.739,-120.544,2014-07-17,f
24453,44.739,-120.544,2014-07-17,f
24468,44.76,-120.324,2014-07-17,f
24469,44.76,-120.324,2014-07-17,f
24471,44.762,-120.329,2014-07-17,f
24472,44.762,-120.329,2014-07-17,f
24491,44.808,-120.318,2014-07-17,f
24492,44.808,-120.318,2014-07-17,f
24493,44.808,-120.318,2014-07-17,f
24505,44.828,-120.323,2014-07-17,f
24506,44.828,-120.323,2014-07-17,f
24515,44.845,-120.251,2014-07-17,f
24629,44.934,-120.889,2014-07-17,f
24630,44.934,-120.889,2014-07-17,f
24641,44.942,-119.545,2014-07-17,t
24642,44.942,-119.545,2014-07-17,t
24643,44.942,-119.545,2014-07-17,t
24650,44.949,-120.545,2014-07-17,f
24651,44.949,-120.545,2014-07-17,f
24652,44.949,-120.545,2014-07-17,f
24671,44.964,-121.709,2014-07-17,f
24672,44.965,-120.472,2014-07-17,f
24674,44.967,-121.168,2014-07-17,t
24675,44.967,-121.168,2014-07-17,t
24676,44.968,-121.167,2014-07-17,t
24682,44.972,-121.136,2014-07-17,f
24683,44.972,-121.136,2014-07-17,f
24684,44.972,-121.136,2014-07-17,f
24687,44.98,-120.575,2014-07-17,f
