,lat,long,date,fire_bool
27797,48.44,-120.055,2014-07-17,t
27798,48.442,-120.013,2014-07-17,t
27800,48.445,-120.039,2014-07-17,t
27802,48.452,-120.058,2014-07-17,t
27803,48.452,-120.058,2014-07-17,t
27804,48.453,-120.058,2014-07-17,t
27805,48.454,-120.079,2014-07-17,t
27806,48.454,-120.079,2014-07-17,t
27807,48.454,-120.079,2014-07-17,t
27813,48.456,-120.025,2014-07-17,t
27814,48.456,-120.025,2014-07-17,t
27815,48.456,-120.025,2014-07-17,t
27838,48.48,-120.07,2014-07-17,t
27839,48.48,-120.07,2014-07-17,t
27840,48.48,-120.07,2014-07-17,t
51784,43.132,-118.127,2014-07-17,t
51825,43.149,-118.254,2014-07-17,t
51826,43.151,-118.267,2014-07-17,t
51827,43.151,-118.267,2014-07-17,t
51828,43.151,-118.267,2014-07-17,t
51829,43.151,-118.26,2014-07-17,t
51833,43.153,-118.255,2014-07-17,t
51834,43.153,-118.255,2014-07-17,t
51835,43.153,-118.255,2014-07-17,t
51874,43.187,-118.221,2014-07-17,t
51875,43.187,-118.221,2014-07-17,t
51887,43.213,-118.04,2014-07-17,t
51993,43.279,-118.06,2014-07-17,t
51994,43.279,-118.06,2014-07-17,t
52033,43.305,-118.041,2014-07-17,t
52034,43.305,-118.041,2014-07-17,t
52081,43.339,-118.265,2014-07-17,t
52086,43.353,-118.221,2014-07-17,t
52125,43.407,-118.389,2014-07-17,t
52132,43.411,-118.404,2014-07-17,t
52133,43.411,-118.404,2014-07-17,t
52212,43.476,-118.381,2014-07-17,t
52218,43.483,-118.377,2014-07-17,t
52289,43.602,-118.381,2014-07-17,t
52509,44.004,-115.876,2014-07-17,t
52521,44.01,-115.872,2014-07-17,t
52533,44.021,-115.905,2014-07-17,t
52534,44.021,-115.905,2014-07-17,t
52535,44.021,-115.905,2014-07-17,t
53024,44.483,-120.354,2014-07-17,t
53027,44.488,-120.362,2014-07-17,t
53028,44.488,-120.362,2014-07-17,t
53032,44.491,-120.366,2014-07-17,t
53033,44.491,-120.366,2014-07-17,t
53034,44.491,-120.366,2014-07-17,t
53046,44.498,-120.367,2014-07-17,t
53047,44.498,-120.367,2014-07-17,t
53048,44.498,-120.367,2014-07-17,t
53117,44.556,-121.61,2014-07-17,t
53118,44.556,-121.61,2014-07-17,t
53119,44.556,-121.61,2014-07-17,t
53130,44.562,-121.604,2014-07-17,t
53131,44.562,-121.604,2014-07-17,t
53132,44.562,-121.604,2014-07-17,t
53133,44.563,-121.591,2014-07-17,t
53134,44.563,-121.591,2014-07-17,t
53135,44.563,-121.591,2014-07-17,t
53143,44.568,-121.574,2014-07-17,t
53144,44.568,-121.574,2014-07-17,t
53145,44.568,-121.574,2014-07-17,t
53149,44.57,-121.587,2014-07-17,t
53150,44.57,-121.587,2014-07-17,t
53151,44.57,-121.587,2014-07-17,t
53152,44.572,-121.599,2014-07-17,t
53153,44.572,-121.599,2014-07-17,t
53154,44.572,-121.599,2014-07-17,t
53155,44.574,-121.585,2014-07-17,t
53196,44.634,-121.752,2014-07-17,t
53197,44.634,-121.752,2014-07-17,t
53198,44.634,-121.752,2014-07-17,t
53221,44.648,-121.721,2014-07-17,t
53222,44.648,-121.721,2014-07-17,t
53223,44.648,-121.721,2014-07-17,t
53460,44.921,-121.733,2014-07-17,t
53461,44.921,-121.733,2014-07-17,t
53482,44.929,-121.752,2014-07-17,t
53483,44.929,-121.752,2014-07-17,t
53491,44.932,-119.558,2014-07-17,t
53492,44.932,-119.543,2014-07-17,t
53493,44.932,-119.543,2014-07-17,t
53494,44.932,-119.543,2014-07-17,t
53501,44.937,-121.195,2014-07-17,t
53502,44.937,-121.195,2014-07-17,t
53503,44.937,-121.195,2014-07-17,t
53523,44.944,-121.21,2014-07-17,t
53524,44.944,-121.21,2014-07-17,t
53525,44.944,-121.21,2014-07-17,t
53526,44.945,-121.209,2014-07-17,t
53527,44.945,-121.209,2014-07-17,t
53530,44.947,-119.533,2014-07-17,t
53531,44.947,-119.533,2014-07-17,t
53532,44.947,-119.533,2014-07-17,t
53535,44.957,-121.195,2014-07-17,t
53536,44.958,-121.173,2014-07-17,t
53537,44.958,-121.173,2014-07-17,t
53538,44.958,-121.173,2014-07-17,t
53552,44.984,-121.193,2014-07-17,t
53553,44.984,-121.193,2014-07-17,t
53554,44.984,-121.193,2014-07-17,t
55337,47.668,-120.767,2014-07-17,t
55338,47.668,-120.767,2014-07-17,t
55339,47.668,-120.767,2014-07-17,t
55343,47.669,-120.757,2014-07-17,t
55345,47.671,-120.79,2014-07-17,t
55346,47.671,-120.79,2014-07-17,t
55359,47.676,-120.74,2014-07-17,t
55360,47.677,-120.763,2014-07-17,t
55361,47.677,-120.763,2014-07-17,t
55362,47.677,-120.763,2014-07-17,t
55391,47.691,-120.762,2014-07-17,t
55392,47.691,-120.762,2014-07-17,t
55393,47.691,-120.762,2014-07-17,t
55402,47.697,-120.797,2014-07-17,t
55403,47.697,-120.797,2014-07-17,t
55404,47.697,-120.797,2014-07-17,t
55410,47.701,-120.792,2014-07-17,t
55411,47.701,-120.792,2014-07-17,t
55412,47.701,-120.792,2014-07-17,t
55413,47.702,-120.822,2014-07-17,t
55414,47.703,-120.805,2014-07-17,t
55415,47.703,-120.805,2014-07-17,t
55416,47.703,-120.805,2014-07-17,t
55419,47.705,-120.762,2014-07-17,t
55420,47.705,-120.762,2014-07-17,t
55421,47.705,-120.762,2014-07-17,t
55929,48.149,-119.978,2014-07-17,t
55930,48.149,-119.978,2014-07-17,t
55931,48.149,-119.978,2014-07-17,t
55938,48.158,-119.978,2014-07-17,t
55939,48.158,-119.978,2014-07-17,t
55963,48.171,-119.969,2014-07-17,t
55964,48.171,-119.969,2014-07-17,t
55982,48.185,-119.99,2014-07-17,t
55983,48.185,-119.99,2014-07-17,t
55984,48.185,-119.965,2014-07-17,t
55985,48.185,-119.965,2014-07-17,t
55986,48.185,-119.965,2014-07-17,t
55993,48.19,-120.022,2014-07-17,t
55994,48.19,-120.022,2014-07-17,t
55995,48.191,-120.063,2014-07-17,t
55996,48.191,-120.063,2014-07-17,t
55997,48.191,-120.063,2014-07-17,t
56002,48.195,-120.09,2014-07-17,t
56003,48.195,-120.09,2014-07-17,t
56004,48.195,-120.09,2014-07-17,t
56005,48.195,-120.033,2014-07-17,t
56006,48.195,-120.033,2014-07-17,t
56007,48.195,-120.033,2014-07-17,t
56012,48.196,-119.976,2014-07-17,t
56014,48.196,-119.976,2014-07-17,t
56015,48.196,-119.976,2014-07-17,t
56048,48.2,-120.06,2014-07-17,t
56049,48.2,-120.06,2014-07-17,t
56050,48.2,-120.06,2014-07-17,t
56062,48.205,-119.995,2014-07-17,t
56063,48.205,-119.995,2014-07-17,t
56064,48.205,-119.995,2014-07-17,t
56077,48.207,-119.986,2014-07-17,t
56078,48.207,-119.986,2014-07-17,t
56079,48.207,-119.986,2014-07-17,t
56085,48.209,-120.057,2014-07-17,t
56086,48.209,-120.057,2014-07-17,t
56087,48.209,-120.057,2014-07-17,t
56094,48.211,-120.048,2014-07-17,t
56095,48.211,-120.048,2014-07-17,t
56125,48.217,-120.164,2014-07-17,t
56126,48.217,-120.164,2014-07-17,t
56127,48.217,-120.164,2014-07-17,t
56131,48.22,-120.067,2014-07-17,t
56132,48.22,-120.067,2014-07-17,t
56133,48.22,-120.067,2014-07-17,t
56467,48.388,-120.011,2014-07-17,t
56470,48.395,-120.023,2014-07-17,t
56471,48.395,-120.023,2014-07-17,t
56476,48.398,-119.982,2014-07-17,t
56477,48.398,-119.982,2014-07-17,t
56503,48.417,-119.992,2014-07-17,t
56504,48.417,-119.992,2014-07-17,t
56505,48.418,-120.034,2014-07-17,t
56506,48.418,-120.034,2014-07-17,t
56507,48.418,-120.034,2014-07-17,t
56512,48.419,-120.008,2014-07-17,t
56525,48.425,-120.076,2014-07-17,t
56526,48.425,-120.076,2014-07-17,t
56527,48.425,-120.076,2014-07-17,t
56536,48.432,-120.058,2014-07-17,t
56537,48.432,-120.058,2014-07-17,t
56538,48.432,-120.058,2014-07-17,t
56541,48.433,-120.046,2014-07-17,t
56542,48.433,-120.046,2014-07-17,t
56551,48.436,-120.037,2014-07-17,t
56552,48.436,-120.028,2014-07-17,t
56553,48.436,-120.028,2014-07-17,t
56554,48.436,-120.028,2014-07-17,t
56556,48.438,-120.014,2014-07-17,t
56557,48.438,-120.014,2014-07-17,t
56565,48.444,-120.085,2014-07-17,t
56566,48.444,-120.085,2014-07-17,t
56567,48.444,-120.033,2014-07-17,t
56568,48.444,-120.033,2014-07-17,t
